name	NutSource	NutStyle	nucleus?	MultiCell?	CellWall?
org1	A	C	Y	Y	Y
org2	A	P	Y	Y	Y
org3	H	I	Y	Y	Y
org4	H	A	Y	Y	Y
org5	B	C_I	Y	Y	Y
org6	B	C_A	Y	Y	Y
org7	B	P_I	Y	Y	Y
org8	B	P_A	Y	Y	Y
org9	A	C	N	Y	Y
org10	A	P	N	Y	Y
org11	H	I	N	Y	Y
org12	H	A	N	Y	Y
org13	B	C_I	N	Y	Y
org14	B	C_A	N	Y	Y
org15	B	P_I	N	Y	Y
org16	B	P_A	N	Y	Y
org17	A	C	Y	N	Y
org18	A	P	Y	N	Y
org19	H	I	Y	N	Y
org20	H	A	Y	N	Y
org21	B	C_I	Y	N	Y
org22	B	C_A	Y	N	Y
org23	B	P_I	Y	N	Y
org24	B	P_A	Y	N	Y
org25	A	C	N	N	Y
org26	A	P	N	N	Y
org27	H	I	N	N	Y
org28	H	A	N	N	Y
org29	B	C_I	N	N	Y
org30	B	C_A	N	N	Y
org31	B	P_I	N	N	Y
org32	B	P_A	N	N	Y
org33	A	C	Y	Y	N
org34	A	P	Y	Y	N
org35	H	I	Y	Y	N
org36	H	A	Y	Y	N
org37	B	C_I	Y	Y	N
org38	B	C_A	Y	Y	N
org39	B	P_I	Y	Y	N
org40	B	P_A	Y	Y	N
org41	A	C	N	Y	N
org42	A	P	N	Y	N
org43	H	I	N	Y	N
org44	H	A	N	Y	N
org45	B	C_I	N	Y	N
org46	B	C_A	N	Y	N
org47	B	P_I	N	Y	N
org48	B	P_A	N	Y	N
org49	A	C	Y	N	N
org50	A	P	Y	N	N
org51	H	I	Y	N	N
org52	H	A	Y	N	N
org53	B	C_I	Y	N	N
org54	B	C_A	Y	N	N
org55	B	P_I	Y	N	N
org56	B	P_A	Y	N	N
org57	A	C	N	N	N
org58	A	P	N	N	N
org59	H	I	N	N	N
org60	H	A	N	N	N
org61	B	C_I	N	N	N
org62	B	C_A	N	N	N
org63	B	P_I	N	N	N
org64	B	P_A	N	N	N
